Date,Revenue (in millions of $)
3/30/2008,5186
6/30/2008,5637
9/30/2008,5541
12/30/2008,5701
3/30/2009,5509
6/30/2009,5523
9/30/2009,5945
12/30/2009,6674
3/30/2010,6775
6/30/2010,6820
9/30/2010,7286
12/30/2010,8440
3/30/2011,8575
6/30/2011,9026
9/30/2011,9720
12/30/2011,10584
3/30/2012,10645
6/30/2012,10964
9/30/2012,11526
12/30/2012,12905
3/30/2013,12951
6/30/2013,13107
9/30/2013,13754
12/30/2013,15707
3/30/2014,15420
6/30/2014,15955
9/30/2014,16523
12/30/2014,17997
3/30/2015,17178
6/30/2015,17653
9/30/2015,18534
12/30/2015,21179
3/30/2016,20092
6/30/2016,21305
9/30/2016,22254
12/30/2016,25802
3/30/2017,24618
6/30/2017,25913
9/30/2017,27470
12/30/2017,32192
3/30/2018,30996
6/30/2018,32512
9/30/2018,33594
12/30/2018,38998
3/30/2019,36032
6/30/2019,38674
9/30/2019,40225
12/30/2019,45812
3/30/2020,40975
6/30/2020,37998
9/30/2020,46017
12/30/2020,56704
3/30/2021,55225
6/30/2021,61695
9/30/2021,64874
12/30/2021,74941
3/30/2022,67293
6/30/2022,69117
